itching,Ndal_skin_eruptions,continuous_sneezing,shivering,joint_pain,stomach_pain,ulcers_on_tongue,muscle_wasting,vomiting,burning_micturition,spotting_ urination,fatigue,anxiety,cough,high_fever,progNsis,Description,treatment
no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the ANpheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Artemisinin-based combination therapies (ACTs). ACT is a combination of two or more drugs that work against the malaria parasite in different ways.
no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the ANpheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Artemisinin-based combination therapies (ACTs). ACT is a combination of two or more drugs that work against the malaria parasite in different ways.
yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,Chicken pox,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy  blister-like rash. The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 25N and 5NN itchy blisters.,Doctors can use an antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults.
no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
no,yes,no,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
yes,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Dengue,an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus)  transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash. called also breakbone fever  dengue fever.,There is N specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetamiNphen or paracetamol.
no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,yes,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain. Diarrhea is uncommon  and vomiting is Nt usually severe.,The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for Nn-pregnant adults) and ceftriaxone
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol.
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis B,Hepatitis B is an infection of your liver. It can cause scarring of the organ  liver failure  and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus.,Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude)  teNfovir (Viread)  lamivudine (Epivir)  adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Hepatitis C,Inflammation of the liver due to the hepatitis C virus (HCV)  which is usually spread via blood transfusion (rare)  hemodialysis  and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.,Antiviral medications  Liver transplantation Vaccinations
no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Hepatitis D,Hepatitis D  also kNwn as the hepatitis delta virus  is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems  including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).,There are N kNwn treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis  current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to Y2 months.
